author,n,match,gender,titles,ntit,birth,death,prefix1,prefix2
"Абидуев, Бавасан",4,АбидуевБ,m,"Сказки; Храбрый козленок Бабана. (Оседлавший тигра. Ш алай и Ш анай); Оседлавший тигра; Сказка о кролике Бобане; Шанай и Шалай",5,,,АбидуевБ,NA
"Абитов, Х. Я.",1,АбитовХЯ,m,"Два охотника",1,,,АбитовX,АбитовXЯ
"Абожин, Юрий",1,АбожинЮ,m,"В черном логове",1,,,АбожинЮ,NA
"Абрагами, Ю.",1,АбрагамиЮ,-,"Дети диспансера",1,,,АбрагамиЮ,NA
"Абрамов, А.",21,АбрамовАН,m,"Конвейер; Ракета; Центр тяжести; Щепки, резинки, жесть; Сделай сам конвейер; Автоконвейер; Вертушка; Десять моделей; 33 затеи; Шесть моделей; Вырезай, печатай; Юные новаторы; Оружие пехоты; Самодельные электрические и паровые двигатели; Учись паять",15,,,АбрамовА,NA
"Абрамов, А. И.",1,АбрамовАИ,m,"Серебряный вариант",1,,,АбрамовА,АбрамовАИ
"Абрамов, А. Н.",7,АбрамовАН,m,"Самодельная паровая турбина; Самодельные паровые машины; Самодельные электромоторы и трансформатор; Самодельные электромоторы й трансформатор; Удивительные числа; Учись распознавать самолеты врага; Юный техник. 35 самодельных приборов и моделей для школы, пионерского отряда и дома по оптике, фото, радио, электротехнике и пиротехнике",7,,,АбрамовА,АбрамовАН
"Абрамов, Александр",26,АбрамовАИ,m,"Всадники ниоткуда; Рай без памяти; Тень императора; Селеста— 7000»; Все дозволено; Роман; РАССКАЗЫ; Четыре цвета памяти; Мошкара; Хэппи энд; Глаза века; Повесть; Р е д; : В; Ревич; Приключения р а д и ..; «Лит; газ.», 1969, 19 февр., стр; 5; ПОВЕСТИ; Хождение за три моря; Новый А ладдин; Комната для гостей; Спокойной ночи! Принц из седьмой формации; Гамма времени",25,,,АбрамовА,NA
"Абрамов, В.",40,АбрамовВ,m,"Детские странствия; Комок-Ушан; Будь готов; Сон деда Егора; Детские и юношеские странствия; Первый рейс; Там, где текут два Нила; Камин нужен и в Африке; (Вместо предисловия); В КРАЮ ФИНИКОВЫХ ПАЛЬМ; Герб провинции; В окрестностях Мероэ; Вдоль Нила; Донгола; На воде; Через пустыню; Из глубины веков; Дороги, дороги..; НА «ХОБОТЕ СЛОНА»; Ошибка господина Халстона; На улицах Хартума; О чем рассказала гробница; Гези-ра — страна белого золота; В САВАННАХ ДАРФУРА И КОРДО-ФАНА; Жизнь саванн; Почему баккара и почему кабабиш? Развалины Дарфура; ТАМ, ГДЕ ПЛАВАЮТ ОСТРОВА; Где истоки Нила; Что такое сэдды? Царство зверей и птиц; Так живут нилоты; Проблемы Юга; МЕЖДУ КРАСНЫМ МОРЕМ И НИЛОМ; Морские богатства; Город мертвый и город живой; Подземные кладовые; Под своим флагом; Матмурн или элеватор? СНОВА В ХАРТУМЕ; Нынешний день Судана; В стране растут свои кадры; Москва — Хартум",40,,,АбрамовВ,NA
"Абрамов, Г. М.",1,АбрамовГМ,m,Соловушка,1,,,АбрамовГ,АбрамовГМ
"Абрамов, Герман",49,АбрамовГМ,m,"Где они были? Стихи; В путь-дорожку с удочкой, с лукошком; Вареники; Где они были?—Встреча с волками; Любила бабка гречку. (Шутка). Пер. с болг; Поющая березка; Семейство журавлиное; Про кулика; Г орлинка; Неясыть; Поползень; ПОЛЕСЬЯ МОИ И ПОРЕЧЬЯ: Деревце; Грибник; Трясина; По клюкву; Волки; Телка; У ручейка; Старичок и пастушок; Далеко еще до осени...; Шалаш; Рыбачий день; В моем садке; Крутолобый; Кувыркала; Усатое чудовище; Задом наперед; Рыба Лень; Рыбачки и рыбочки; Воря; В метелицу: (Песня); По последнему льду; Уход зимы; КРЫЛАТЫЕ ПРИЯТЕЛИ: Все понятно!; Птичье утро; За плугом; Соловушка; На всю дубраву запоет!; Верная примета; Носатый плотник; Беспечная кочевница; Сообразил; Воркотунья; Дружное семейство; Не страшно!; Домосед; Мудреный гусь; Северянин; Осенний рисунок; Прощание",50,,,АбрамовГ,NA
"Абрамов, И. С.",1,АбрамовИС,m,"Что говорят забытые могилы",1,,,АбрамовИ,АбрамовИС
"Абрамов, Кузьма",1,АбрамовК,m,"Сараклыч. Повесть (в стихах) о былых временах",1,,,АбрамовК,NA
"Абрамов, Леонид",1,АбрамовЛ,m,"Пароль поиска — «Клятва»",1,,,АбрамовЛ,NA
"Абрамов, М. А.",16,АбрамовМА,m,"Зарница; Золотые терема; Тревога; Марш как марш; Задача первая; Подъем; Задача вторая; Саперы; Задача третья; Вылазки в стан врага; Допрос; Задача четвертая; Навстречу бою; Засада; Задача пятая; Клятва; Здравствуй, лагерь!",17,1927,,АбрамовМ,АбрамовМА
"Абрамов, Михаил",1,АбрамовМА,m,"Речка Северянка",1,1927,,АбрамовМ,NA
"Абрамов, С.",1,АбрамовСИ,m,Чубарый,1,,,АбрамовС,NA
"Абрамов, С. А.",7,АбрамовСА,m,"Опознай живого; Серебряный вариант; Выше радуги; Выше Радуги; Опознай живого: Приключенч. повесть; Фантаст. повести: В лесу прифронтовом; «Ведьмин столб»; Приключения на лесной улице",8,,,АбрамовС,АбрамовСА
"Абрамов, Сергей",26,АбрамовСА,m,"Всадники ниоткуда; Рай без памяти; Тень императора; Селеста— 7000»; Все дозволено; Роман; РАССКАЗЫ; Четыре цвета памяти; Мошкара; Хэппи энд; Глаза века; Повесть; Р е д; : В; Ревич; Приключения р а д и ..; «Лит; газ.», 1969, 19 февр., стр; 5; ПОВЕСТИ; Хождение за три моря; Новый А ладдин; Комната для гостей; Спокойной ночи! Принц из седьмой формации; Гамма времени",25,,,АбрамовС,NA
"Абрамов, Ф. А.",12,АбрамовФА,m,"Две зимы и три лета; Из рассказов Олёны Даниловны; Алые олени; Жила-была семужка; Пелагея; Алька; Пролетали лебеди; Как Олёна Даниловна в няньках жила; Несмышленыши; Про Василия Ивановича",10,,,АбрамовФ,АбрамовФА
"Абрамов, Федор",4,АбрамовФА,m,"Из рассказов Олены Даниловны; Как Олена Даниловна в няньках жила; Несмышленыши; Про Василия Ивановича",4,,,АбрамовФ,NA
"Абрамов, Я. В.",2,АбрамовЯВ,m,"Георг Стефенсон; Роберт Фультон",2,,,АбрамовЯ,АбрамовЯВ
"Абрамова-Калицкая, В. П.",1,Абрамова-КалицкаяВП,f,"Искатели нефти",1,,,Абрамова-КалицкаяВ,Абрамова-КалицкаяВП
"Абрамова, А. С.",2,АбрамоваАС,f,"Сто затей",1,,,АбрамоваА,АбрамоваАС
"Абрамова, В. П. [Калицкая]",5,Абрамова-КалицкаяВП,f,"Беглецы; Лошадь Василия Дмитриевича; Миллион глаз; Храбрый пастух и великий ученый",4,,,АбрамоваВ,АбрамоваВП
"Абрамович, А. Ф.",1,АбрамовичАФ,-,"Петербургский приют",1,,,АбрамовичА,АбрамовичАФ
"Абрамсон, В. Е.",1,АбрамсонВЕ,-,"Зовут тебя дороги",1,,,АбрамсонВ,АбрамсонВЕ
"Абрамян, Г.",1,АбрамянГВ,m,"Мастер Триоль",1,,,АбрамянГ,NA
"Абрамян, Г. В.",2,АбрамянГВ,m,"Мастер Триоль; Маленький упрямый барабан",2,,,АбрамянГ,АбрамянГВ
"Абрамян, Григорий",9,АбрамянГВ,m,"Ключ от песенки; Кто взял фальшивую ноту; Страдивариус; Эй, Антонио!; Маленький упрямый барабан; Маэстро; Шут Три-боле; Эй, Антонио! Бель канто",8,,,АбрамянГ,NA
"Аброскин, И.",2,АброскинИ,m,"Мальчик Ом-кай и его умки; Мальчик Омкай и. ушки",2,,,АброскинИ,NA
"Абсалямов, А.",1,АбсалямовА,m,Газинур,1,,,АбсалямовА,NA
"Абсалямов, Абдурахман",16,АбсалямовА,m,"Белые ночи; Газинур; Белые ночи. Повесть. Пер. В. Ганцева. РАССКАЗЫ. Вторая жизнь. Пер. Г. Паушкин; Абушахман. Пер. Э. Вагапов; Сильнее смерти. Пер. 3. Халитова; Знамя. Пер. Э. Вагапов; Северное сияние Пер. К. Горбунов; Свирель. Пер. Э. Вагапов; Буря. Пер. К. Горбунов; Солдат Хайбулла. Пер. М. Рафиков; Красная ракета. Пер. Э. Вагапов; Ефрейтор Хамидулин. Пер. Г. Паушкин; Потомок орла. Пер. Г. Паушкин; Голубое утро. Пер. 3. Халитова; В Уссурийской тайге. Пер. Э. Вагапов; Шиповник. Пер. Г. Паушкин; Сердце не камень. Пер. М. Демидова",17,,,АбсалямовА,NA
"Абу-Бакар, А.",3,Абу-БакарА,-,"Ищи и найдешь; Говорящий кувшин; Сладкий родник",3,,,Абу-БакарА,NA
"Абу-Бакар, Ахмедхан",17,Абу-БакарА,-,"Дедушка Хабибулла из Долины садов; Медовые скалы; Наследник сокровищ Зирех-Герана; Сказка о Долине Садов, о дедушке Хабибулле и его глиняных куклах; О том, где и как родилась эта книга; Горькое заблуждение; Сабля Айдамира; Смерть матери; Д ва старика; Свеча не светит, под собой; Волчьи шкуры; Култум; Подарок; Козерог; Загадка дедушки; Янтарная трубка",16,,,Абу-БакарА,NA
"Абуков, Камал",1,АбуковК,m,Тайна,1,,,АбуковК,NA
"Абульгасан, Алекпер-Заде Алибаба оглы",1,АбульгасанА,-,"Внуки старой Тамаши",1,,,АбульгасанА,NA
"Абчук, В. А.",1,АбчукВА,-,"Торпеда капитана Немо, или По следам будущего",1,,,АбчукВ,АбчукВА
"Абчук, Владимир",1,АбчукВ,m,"Секрет великих полководцев",1,,,АбчукВ,NA
"Авакян, Э.",1,АвакянЭ,-,Бабушка-улитка,1,,,АвакянЭ,NA
"Авалиани, Г.",10,АвалианиГ,-,"Пленник старого барсука; Победитель; Трясогузка; Щегленок мальчика Гоги; Горные индейки; Ниша и Гишера; Щелкунчик; Заза и пчелы; Лоза и хмель; Гость Барбоса",10,,,АвалианиГ,NA
"Аванесов, Рафаил",1,АванесовР,m,"Сказка о храбром Зайце",1,,,АванесовР,NA
"Аваткова, И. И.",1,АватковаИИ,f,"Остерегайтесь укуса этих насекомых",1,,,АватковаИ,АватковаИИ
"Августынюк, А.",14,АвгустынюкА,-,"Находчивый машинист; Юные железнодорожники; Транспорт Советской державы; Дорога в Москву; Серебряный паровоз; Стальные кони; Как я стал машинистом; Ночь диспетчера; «Чортушка»,-—Петр Дементьевич; Милая моя «эска»; Трешки; Сумасшедший паровоз; Подоприветер; Все в порядке",14,,,АвгустынюкА,NA
"Авдеев, А. Г.",1,АвдеевАГ,m,"На земле он такой",1,,,АвдеевА,АвдеевАГ
"Авдеев, В. Ф.",1,АвдеевВФ,m,"Моя одиссея",1,,,АвдеевВ,АвдеевВФ
"Авдеев, Виктор",5,АвдеевВФ,m,"Крылатый связист; Красный; Феномен; сИнтернацио-нал»",4,,,АвдеевВ,NA
"Авдеев, Д. П.",1,АвдеевДП,m,"Удивительные гвозди",1,,,АвдеевД,АвдеевДП
"Авдеев, Л. Г.",1,АвдеевЛГ,m,"Специальности слесаря",1,,,АвдеевЛ,АвдеевЛГ
"Авдеев, С.",2,АвдеевС,m,"Модели, управляемые по радио; Модель корабля, управляемого по радио",2,,,АвдеевС,NA
"Авдеев, Ю. Ф.",1,АвдеевЮФ,m,"Космическая азбука",1,,,АвдеевЮ,АвдеевЮФ
"Авдеева, А.",2,АвдееваА,f,"Свет наших очей; От авторов; Воспоминания начальника детского эвакопункта. Ж ертвы фашизма. Это дети города Ленина. Ж енщ ина с куклой. Нашел! Две матери. Н аша Бэби. Материнское тепло. Лишенная света. Алеша. Голос де-. тей. Величие патриотизма. Пис^м.о. Ценные находки. На родину! Проводы. Соколиная стая",3,,,АвдееваА,NA
"Авдеева, К.",1,АвдееваКД,f,"На острове Утопия (Об «Утопии» Томаса Мора)",1,,,АвдееваК,NA
"Авдеева, К. Д.",5,АвдееваКД,f,"На острове Утопий. (Об «Утопии» Томаса Мора. 1478—-1535); Предисл; Томас Мор и Англия его времени; Жизнь, быт нравы утопийцев; В Городе Солнца; Великие предшественники марксизма",6,,,АвдееваК,АвдееваКД
"Авдеенко, А.",10,АвдеенкоА,m,"Дневник моего друга; Над Тиссой; Горная весна; У карпатского костра; Балтийский лед; Перед рассветом",6,,,АвдеенкоА,NA
"Авдеенко, Александр",1,АвдеенкоА,m,"Жигули вы мои, Жигули",1,,,АвдеенкоА,NA
"Авдиенко, Е.",10,АвдиенкоЕП,m,"Ходит солнышко; Огород; В переулке нашем гром..; Наши Наташи; Бродит осень; Аквариум; Мой конь; Шофер; В город приходит зима..; Мороз",10,,,АвдиенкоЕ,NA
"Авдиенко, Е. П.",21,АвдиенкоЕП,m,"Два солнышка; Ходят гуси; Письмо; Про ребят; Нет длиннее пассажира; Три березки; Прогоняет зиму дворник; Мокрые картинки; Первый гром; Катюшка-пастушка; Бегун; На лесной полянке; Урок физкультуры. 5",13,,,АвдиенкоЕ,АвдиенкоЕП
"Авдиенко, Евг.",3,АвдиенкоЕП,m,"На зеленой ножке солнце; Евг. Авдиенко. Верхолаз. Кочегары. Маляр. Снег идет. Весна. Подсолнух. Осень; Ю. Андрианов. Журавль. Дорога. Гроза. „Закат; В. Голяховский. Месяц. Загадка. Про спасибо. Считалка",4,,,АвдиенкоЕ,NA
"Авдиенко, Евгений",16,АвдиенкоЕП,m,"Кем я буду; Яблонька; Пин и Гвин; Маляр; Вот какое море; Непогода; Дубок; Письмо; Журавли летят на юг; Где так долго был, снегирь?; Ежики; Аквариум; Гуси; Как я съел грузовик; Хоккеисты; Берет",16,,,АвдиенкоЕ,NA
"Авенариус, В. П.",13,АвенариусВП,m,"Дытына-поросенок; Заочный портрет; Карась; Мальчики; Молодость и творчество великого изобретателя Эдисона; Пущин в селе Михайловском; Пьески для малюток; Пьесы",8,,,АвенариусВ,АвенариусВП
"Авербах, Ал.",1,АвербахА,-,"Обед в кармане",1,,,АвербахА,NA
"Авербух, О. К.",1,АвербухОК,m,"Человек и энергия",1,,,АвербухО,АвербухОК
"Авербух, Овсей",4,АвербухОК,m,"Видит око далеко, а разум — дальше; Рассказы о семилетием плане; Путешествие в эледтронию; За гранью известного",4,,,АвербухО,NA
"Аверенков, Юрий",1,АверенковЮ,m,"У тебя есть солнце",1,,,АверенковЮ,NA
"Аверин, В.",2,АверинВ,m,Бесик,1,,,АверинВ,NA
"Аверин, Вс.",4,АверинВс,m,"Зверята; В горах Казахстана; Малыши; Птенцы",4,,,АверинВ,NA
"Аверченко, А. Т.",1,АверченкоАТ,m,"Рассказы о старой школе",1,,,АверченкоА,АверченкоАТ
"Аверченко, Виталий",1,АверченкоВ,m,"Будет ли новый год",1,,,АверченкоВ,NA
"Авижюс, И.",2,АвижюсЙ,m,"Зачарованная лошадка; Потерянный кров",2,,,АвижюсИ,NA
"Авижюс, Йонас",22,АвижюсЙ,m,"Про малую, да удалую; Спичка и булавка; Огурец-хвастунишка; Спор птиц; Свадьба у гриба-боровика; Красавец дом; Узконосые башмачки",7,,,АвижюсЙ,NA
"Авилов, М.",1,АвиловМ,m,"Подшефные коммуны №5",1,,,АвиловМ,NA
Авилова,2,Авилова,f,"Первое горе; Пышная жизнь. «Камардин»",2,,,Авилова,NA
"Авраменко, А. И.",1,АвраменкоАИ,-,"Гонцы из неволи",1,,,АвраменкоА,АвраменкоАИ
"Авраменко, И.",1,АвраменкоИК,m,"Сказка о Постукав и тридцати семи кованых сундуках",1,1907,1973,АвраменкоИ,NA
"Авраменко, И. К.",1,АвраменкоИК,m,"Кем я буду",1,1907,1973,АвраменкоИ,АвраменкоИК
"Аврутин, А. Ю.",2,АврутинАЮ,m,"Радиотех-ник; Машинист",2,,,АврутинА,АврутинАЮ
"Авсеенко, И.",1,АвсеенкоИ,-,"Красные орлята",1,,,АвсеенкоИ,NA
"Авсюкевич, В.",1,АвсюкевичВД,m,"Как мы защищаемая с моря",1,,,АвсюкевичВ,NA
"Авсюкевич, В. Д.",1,АвсюкевичВД,m,"Как живет и работает воздушный флот",1,,,АвсюкевичВ,АвсюкевичВД
"Автократов, Н.",1,АвтократовН,m,"Серая скала",1,,,АвтократовН,NA
"Автономов, В. М.",1,АвтономовВМ,m,Аленка,1,,,АвтономовВ,АвтономовВМ
"Автономов, Владимир",2,АвтономовВМ,m,Аленка,1,,,АвтономовВ,NA
"Агаков, Л.Я.",9,АгаковЛ,m,"Золотая цепочка; Солдатские дети; Синичка; Синич-ка",4,,,АгаковЛ,NA
"Агаков, Леонид",39,АгаковЛ,m,"Солдатские дети; Вниз по Волге; И вспоминать страшно; Под Чебоксарами.' Д ва друга; Очень срочное дело; Первый вечер; Ночью, в буран; Знакомство; А дети учились; «Райкомовская девушка» пришла; Первые радости; Чертова штука; Большая победа; Перед Новым годом; В зимний день; Кто же он? Этого простить нельзя! Новые задачи; Доброе имя; У бабушки; Страшная встреча; Илле пропал; Они не будут сиротами; Пути-дороги; Всем народом; Саду цвесть; День за днем; «Шайтан» в упряжке; Дорогой гость; Нужны чурки; Долгожданное письмо; Гостинцы для героев; Счастливая встреча; За языком; Далеко в Сибири; А жизнь идет; Цена счастья; Радость и горе; Пришла добрая весна; Подорожная; Светлый май",39,,,АгаковЛ,NA
"Аганбегян, А. Г.",1,АганбегянАГ,-,"Что? Где? Почему?",1,,,АганбегянА,АганбегянАГ
"Агапкина, А.",1,АгапкинаА,f,Вихран,1,,,АгапкинаА,NA
"Агапов, В. Д.",1,АгаповВД,m,"Весенняя тропинка",1,,,АгаповВ,АгаповВД
"Агапов, Виктор",20,АгаповВД,m,"Красные листья; Скворечник; Сосульки; Подснежник; Фиалки; Ландыш; Кузнечик; Светлячки; Земляника; Рыжик; Боровик; Опята; Арбуз; Вечером; Дом построил муравей; Осенью; Ночь; Штангист; Зимой, Воробьишка; Бабушкино лето",20,,,АгаповВ,NA
"Агапов, С. В.",2,АгаповСВ,m,"Географический словарь",1,,,АгаповС,АгаповСВ
"Агарвал, Сатья Пракош",1,АгарвалС,-,"Пятеро бесстрашных",1,,,АгарвалС,NA
"Агарков, Борис",1,АгарковБ,m,"Партизанские тропы",1,,,АгарковБ,NA
"Агасарян, Ф.",2,АгасарянФ,-,"Лес из одного дерева; Страус. Жуки-труженики. Каучук. Лес из одного дерева. Пер. В. Баблояна; Медлительный. Растения-хищники. Пер. В. Баблояна и Ю. Дмитриева",3,,,АгасарянФ,NA
"Агасов, Г.",1,АгасовГ,m,"Ребятам о нефти",1,,,АгасовГ,NA
"Агатов, В. И.",1,АгатовВИ,m,"Гога. Правдивая история",1,,,АгатовВ,АгатовВИ
"Агафонов, А. Ф.",2,АгафоновАФ,m,"Боец ополчения; Я вернусь с победой, мама",2,1927,1995,АгафоновА,АгафоновАФ
"Агафонов, Аркадий",1,АгафоновАФ,m,"Повесть о Вите Черевичкине",1,1927,1995,АгафоновА,NA
"Агафошин, Н. П.",1,АгафошинНП,m,"Периодический закон и периодическая система элементов Д. И. Менделеева",1,,,АгафошинН,АгафошинНП
"Агашина, М.",38,АгашинаМК,f,"Наша Аленушка; Интересная игра; Пять—шестой..; Вова; Наташи; Веснушки; Про Борю и про море; Зойка; Спортсмен; Старший брат; Первоклашка; Голуби; Обновки; Рисунки; Весна; Кот; Козлик; Пять — шестой..; Мой братишка; Рукавички; Гули-гули; Кошка Машка; Моя кукла; Аленка; Пирожки; В понедельник; Досчитали до пяти; Перед школой; Белые парты; Лепка; Недостатки; Лейка; Новые снегурки; На берегу. ,",34,1924,,АгашинаМ,NA
"Агашина, М. К.",1,АгашинаМК,f,"Детям Волгограда",1,1924,,АгашинаМ,АгашинаМК
"Агашина, Маргарита",7,АгашинаМК,f,"У Аленушки дела; Огонешка; Как Аленка вышивала; Гули-гули; Что бабушка подарила Аленке зимой; Что бабушка подарила Аленке летом; Как Аленка одевала куклу; Как Аленка научилась считать до пяти",8,1924,,АгашинаМ,NA
"Агаян, Г.",3,АгаянГ,-,"Сказки; Анаит; Г. Агаян. (Критико-биографическая справка.) — Анаит. Перевод С. Ионнисяна (проза) и стихи О. Румера; Арегна-зян. Перевод Ц. Наляна (проза) и стихи О. Румера",4,,,АгаянГ,NA
"Агейкин, Григорий",16,АгейкинГ,m,"Маленькие хозяева; Приходите; В дождь; За грибами; Родничок; Молодой-рабочий; Самый светлый день; Красный галстук; Ласточки; В огород; Весеннее утро; Березка; В-лесу; Глобус; Яблоки; Как увидеть-Новый год? Маленькие хозяева (Поэма); Все деревья хороши (Поэма)",17,,,АгейкинГ,NA
"Агзам, М.",1,АгзамМ,-,"Мальчик с задумчивыми глазами",1,,,АгзамМ,NA
"Агзам, Миразиз",35,АгзамМ,-,"Полный карман орехов; Крепкий орешек; Будьте, дедушка, здоровы!—Полный карман орехов; Пустой     орех; Больной орех; Полный орех; Крепкий орех; Одинокий орех; Мой самый памятный орех; Приезжайте на карнавал; Как летал медвежонок; Как медвежонок зуб лечил; Разные   вкусы; Зайцы; Про бабушку-перепелку и про внука-перепелоночка; Скворушка; Курица   Салимджана —О, какой муравей!—Туман; Вот уж недоверчивый!—Как я провел лето; Мальчик с задумчивыми глазами; Путешествие; Герои; Мы—это звездочка; Восхищайтесь!—Тишина; Серьезный разговор. Поэма; Звездочка; Перемудрил; В тучу превращусь...; Тишина; Как я провел лето; Мальчик с задумчивыми глазами;' Полный карман орехов; Хотел удивить...; Про ба-бушку-перепелку и внука-пере-пеленочка; Будьте, дедушка, здоровы!; Птица Ульмас: (По мотивам.'нар. сказки)",34,,,АгзамМ,NA
"Агирре, М.",1,АгирреМ,-,"От января до января",1,,,АгирреМ,NA
"Агиш, Сагит",11,АгишС,-,"У реки; Гнедко; Гольсибар хочет расти; Путешествие на санках; Старый скрипач; Моя бабушка артистка; Дружба с художником; Соседка; Черепаха; Серая утка",10,,,АгишС,NA
"Агишев, Рустам",3,АгишевР,m,"Сын тайги; Сказание о любви",2,,,АгишевР,NA
"Агладзе, А.",2,АгладзеА,-,"Непрошенный гость; Пионерский лагерь",2,,,АгладзеА,NA
"Агнивцев, Н. Я.",30,АгнивцевНЯ,m,"В защиту трубочиста; Винтик-шпунтик; Война игрушек; Знакомые незнакомцы; Как примус захотел Фордом сделаться; Кирпичики мои; Китайская болтушка; Кит и сниток; Маленький черный Мурзук; Мыши из цирка; О бедном щегленке; Октябренок-постреленок; О шестерых вот этих; Разноцветные ребята; Ребячий город; Рикша из Шанхая; Сказка с цветами; Солнце и свечка; Спор между домами; Твои машинные друзья; Твои наркомы у тебя дома; Чашка чаю; Шарманочка",23,,,АгнивцевН,АгнивцевНЯ
"Аграновский, А. А.",2,АграновскийАА,m,"Незаменимые; Иду искать",2,,,АграновскийА,АграновскийАА
"Аграновский, Анатолий",15,АграновскийАА,m,"Повесть о чудесном одуванчике; Репортаж из будущего; Разная смелость; Иду искать; От автора; Репортаж первый: Центролит. Люди с загадом; Репортаж второй: Сказка. Притча о микрогеографе; Репортаж третий: Обыкновенный городок. Марсиане взволнованы; Репортаж четвертый: Катапульта. Вечно живые; Репортаж пятый: Плацдармы будущего. Горы и люди; Репортаж шестой: Дорогая земля. Главное; Репортаж седьмой. Счастливые. Заключение; Репортаж 1-й. Центролит. Репортаж 2-й, Сказка. Репс.ртаж 3-й. Обыкновенный городок. Репортаж 4-й. Катапульта. Репортаж 5-й. Плацдармы будущего. Репортаж 6-й. Дорогая земля. Репортаж 7-й. Счастливые; Заключение",14,,,АграновскийА,NA
"Аграновский, В. А.",1,АграновскийВА,m,"Взятие сто четвертого",1,1929,2000,АграновскийВ,АграновскийВА
"Аграновский, Валерий",2,АграновскийВА,m,"И хорошо, и быстро: Служба быта: она нужна всем, потому что делает нашу жизнь удобной и красивой.  / В. Аграновский; Оформл. И. Грюнталя.",2,1929,2000,АграновскийВ,NA
"Адалис, А.",1,АдалисА,-,Азери,1,,,АдалисА,NA
Адалло,1,Адалло,-,"Гляжу — не нагляжусь",1,,,Адалло,NA
"Адаменко, П. Я.",1,АдаменкоПЯ,-,"Летний отдых школьника",1,,,АдаменкоП,АдаменкоПЯ
"Адамеску, А. А.",1,АдамескуАА,-,"Созвездие гигантов",1,,,АдамескуА,АдамескуАА
